mesh_id,snomed_id,snomed_term,confidence,mapping_method,frequency,entity_classes,corpora,snomed_active
D004342,416098002,Allergy to drug,0.90,shared_cui,59,disease,"BC5CDR,BioRED",true
D006509,66071002,Type B viral hepatitis,0.90,shared_cui,59,disease,"BC5CDR,BioRED",true
D008790,372826007,Metoprolol,0.90,shared_cui,59,chemical,"BC5CDR,BioRED",true
D009325,422587007,Nausea,0.90,shared_cui,59,disease,"BC5CDR,BioRED",true
D005283,373492002,Fentanyl,0.90,shared_cui,58,chemical,"BC5CDR,BioRED",true
D008881,37796009,Migraine,0.90,shared_cui,58,disease,"BC5CDR,BioRED",true
D009127,16046003,Muscle rigidity,0.90,shared_cui,58,disease,"BC5CDR,BioRED",true
D013629,373345002,Tamoxifen,0.90,shared_cui,58,chemical,"BC5CDR,BioRED",true
D003924,44054006,Type 2 diabetes mellitus,0.90,shared_cui,57,disease,"BC5CDR,BioRED",true
D006966,237662005,Hyperprolactinemia,0.90,shared_cui,57,disease,"BC5CDR,BioRED",true
D008133,9651007,Long QT syndrome,0.90,shared_cui,57,disease,"BC5CDR,BioRED",true
D002784,84698008,Cholesterol,0.90,shared_cui,56,chemical,"BC5CDR,BioRED",true
D003287,385420005,Contrast media,0.90,shared_cui,56,chemical,"BC5CDR,BioRED",true
D004967,86513005,Estrogen effect,0.90,shared_cui,56,chemical,"BC5CDR,BioRED",true
D006261,25064002,Headache,0.90,shared_cui,55,disease,"BC5CDR,BioRED",true
D008107,235856003,Disease of liver,0.90,shared_cui,55,disease,"BC5CDR,BioRED",true
D014202,26079004,Tremor,0.90,shared_cui,55,disease,"BC5CDR,BioRED",true
D015658,86406008,Human immunodeficiency virus infection,0.90,shared_cui,55,disease,"BC5CDR,BioRED",true
D000647,48167000,Amnesia,0.90,shared_cui,54,disease,"BC5CDR,BioRED",true
D010523,302226006,Peripheral nerve disease,0.90,shared_cui,54,disease,"BC5CDR,BioRED",true
D054556,64572001,Disease,0.40,sty_fallback:Disease or Syndrome,54,disease,"BC5CDR,BioRED",true
D003891,372705002,Desipramine,0.90,shared_cui,53,chemical,"BC5CDR,BioRED",true
D009336,6574001,Necrosis,0.90,shared_cui,53,disease,"BC5CDR,BioRED",true
D014786,421801003,Micropsia,0.90,shared_cui,53,disease,"BC5CDR,BioRED",true
D003693,2776000,Delirium,0.90,shared_cui,52,disease,"BC5CDR,BioRED",true
D005921,36171008,Glomerulonephritis,0.90,shared_cui,52,disease,"BC5CDR,BioRED",true
D003276,59261009,Oral contraceptive,0.90,shared_cui,51,chemical,BC5CDR,false
D011605,191483003,Drug-induced psychosis,0.90,shared_cui,51,disease,"BC5CDR,BioRED",true
D015080,386922000,Mesna,0.90,shared_cui,51,chemical,"BC5CDR,BioRED",true
D004958,126172005,Estradiol,0.90,shared_cui,50,chemical,"BC5CDR,BioRED",true
D008727,387381009,Methotrexate,0.90,shared_cui,50,chemical,BC5CDR,true
D009599,372860000,Nitroprusside,0.90,shared_cui,50,chemical,BC5CDR,true
D000109,57308006,Acetylcholine,0.90,shared_cui,49,chemical,"BC5CDR,BioRED",true
D001556,77496001,Lindane,0.90,shared_cui,49,chemical,"BC5CDR,BioRED",true
D004280,387145002,Dobutamine,0.90,shared_cui,49,chemical,"BC5CDR,BioRED",true
D016584,225624000,Panic attack,0.90,shared_cui,49,disease,"BC5CDR,BioRED",true
D002637,29857009,Chest pain,0.90,shared_cui,48,disease,"BC5CDR,BioRED",true
D016190,386905002,Carboplatin,0.90,shared_cui,48,chemical,BC5CDR,true
D015179,126837005,Neoplasm of large intestine,0.90,shared_cui,47,disease,"BC5CDR,BioRED",true
D017202,414795007,Myocardial ischemia,0.90,shared_cui,47,disease,"BC5CDR,BioRED",true
D062787,55680006,Overdose,0.90,shared_cui,47,disease,BC5CDR,false
D001285,372832002,Atropine,0.90,shared_cui,46,chemical,"BC5CDR,BioRED",true
D002927,373541007,Cimetidine,0.90,shared_cui,46,chemical,BC5CDR,true
D008315,706962006,Malonaldehyde,0.90,shared_cui,46,chemical,"BC5CDR,BioRED",true
D014148,386960009,Tranexamic acid,0.90,shared_cui,46,chemical,"BC5CDR,BioRED",true
D014640,372735009,Vancomycin,0.90,shared_cui,46,chemical,"BC5CDR,BioRED",true
D003643,419620001,Death,0.90,shared_cui,45,disease,"BC5CDR,BioRED",true
D004997,126097006,Ethinyl estradiol,0.90,shared_cui,45,chemical,BC5CDR,true
D009069,60342002,Movement disorder,0.90,shared_cui,45,disease,"BC5CDR,BioRED",true
D010672,387220006,Phenytoin,0.90,shared_cui,45,chemical,BC5CDR,true
D050197,38716007,Atherosclerosis,0.90,shared_cui,45,disease,"BC5CDR,BioRED",true
D000666,372643008,Amphotericin,0.90,shared_cui,44,chemical,BC5CDR,true
D002122,387377009,Calcium chloride,0.90,shared_cui,44,chemical,"BC5CDR,BioRED",true
D013481,105590001,Substance,0.40,sty_fallback:Organic Chemical,44,chemical,"BC5CDR,BioRED",true
D014839,422400008,Vomiting,0.90,shared_cui,44,disease,"BC5CDR,BioRED",true
D016291,414351004,Glutamate receptor antagonist,0.65,mrrel_rb,44,chemical,"BC5CDR,BioRED",true
D005047,387316009,Etoposide,0.90,shared_cui,43,chemical,"BC5CDR,BioRED",true
D020927,437750002,Dexmedetomidine,0.90,shared_cui,43,chemical,"BC5CDR,BioRED",true
D000255,76711004,Adenosine triphosphate,0.90,shared_cui,42,chemical,"BC5CDR,BioRED",true
D002779,33688009,Cholestasis,0.90,shared_cui,42,disease,BC5CDR,true
D009459,15244003,Neuroleptic malignant syndrome,0.90,shared_cui,42,disease,"BC5CDR,BioRED",true
D009503,303011007,Neutropenic disorder,0.90,shared_cui,42,disease,"BC5CDR,BioRED",true
D010936,289941004,Plant extract,0.90,shared_cui,42,chemical,"BC5CDR,BioRED",true
D020888,310283001,Vigabatrin,0.90,shared_cui,42,chemical,"BC5CDR,BioRED",true
D034381,15188001,Hearing loss,0.90,shared_cui,42,disease,"BC5CDR,BioRED",true
D005978,55477000,Glutathione,0.90,shared_cui,41,chemical,"BC5CDR,BioRED",true
D006323,397829000,Asystole,0.90,shared_cui,41,disease,"BC5CDR,BioRED",true
D006934,66931009,Hypercalcemia,0.90,shared_cui,41,disease,BC5CDR,true
D008070,3325005,Lipopolysaccharide,0.90,shared_cui,41,chemical,"BC5CDR,BioRED",true
D009207,17450006,Myoclonus,0.90,shared_cui,41,disease,"BC5CDR,BioRED",true
D028361,237995002,Depletion of mitochondrial DNA,0.90,shared_cui,41,disease,"BC5CDR,BioRED",true
D001249,195967001,Asthma,0.90,shared_cui,40,disease,"BC5CDR,BioRED",true
D004487,267038008,Edema,0.90,shared_cui,40,disease,"BC5CDR,BioRED",true
D008750,373542000,Methyldopa,0.90,shared_cui,40,chemical,"BC5CDR,BioRED",true
D013792,78702007,Thalidomide,0.90,shared_cui,40,chemical,BC5CDR,true
D000241,35431001,Adenosine,0.90,shared_cui,39,chemical,BC5CDR,true
D001379,372574004,Azathioprine,0.90,shared_cui,39,chemical,"BC5CDR,BioRED",true
D001749,126885006,Neoplasm of urinary bladder,0.90,shared_cui,39,disease,"BC5CDR,BioRED",true
D001855,127035006,Bone marrow disorder,0.90,shared_cui,39,disease,"BC5CDR,BioRED",true
D002289,254637007,Non-small cell lung cancer,0.90,shared_cui,39,disease,"BC5CDR,BioRED",true
D005334,386661006,Fever,0.90,shared_cui,39,disease,"BC5CDR,BioRED",true
D007008,43339004,Hypokalemia,0.90,shared_cui,39,disease,"BC5CDR,BioRED",true
D007213,373513008,Indomethacin,0.90,shared_cui,39,chemical,BC5CDR,true
D007854,88488004,Lead,0.90,shared_cui,39,chemical,"BC5CDR,BioRED",true
D010396,387235007,Penicillamine,0.90,shared_cui,39,chemical,BC5CDR,true
D002211,95995002,Capsaicin,0.90,shared_cui,38,chemical,BC5CDR,true
D002544,432504007,Cerebral infarction,0.90,shared_cui,38,disease,"BC5CDR,BioRED",true
D003676,372825006,Deferoxamine,0.90,shared_cui,38,chemical,"BC5CDR,BioRED",true
D006852,387525002,Hydrochlorothiazide,0.90,shared_cui,38,chemical,"BC5CDR,BioRED",true
D008775,116593003,Methylprednisolone,0.90,shared_cui,38,chemical,"BC5CDR,BioRED",true
D008874,373476007,Midazolam,0.90,shared_cui,38,chemical,"BC5CDR,BioRED",true
D013610,86651002,Pulse fast,0.90,shared_cui,38,disease,"BC5CDR,BioRED",true
D016642,387564004,Bupropion,0.90,shared_cui,38,chemical,BC5CDR,true
D065626,442685003,Metabolic dysfunction-associated steatohepatitis,0.90,shared_cui,38,disease,"BC5CDR,BioRED",true
D004008,7034005,Diclofenac,0.90,shared_cui,37,chemical,"BC5CDR,BioRED",true
D008055,70106000,Lipid,0.90,shared_cui,37,chemical,BioRED,true
D013999,372880004,Timolol,0.90,shared_cui,37,chemical,BC5CDR,true
D007501,3829006,Iron,0.90,shared_cui,36,chemical,"BC5CDR,BioRED",true
D008175,126713003,Neoplasm of lung,0.90,shared_cui,36,disease,"BC5CDR,BioRED",true
D010051,123843001,Neoplasm of ovary,0.90,shared_cui,36,disease,"BC5CDR,BioRED",true
D011453,418226006,Prostanoid,0.90,shared_cui,36,chemical,"BC5CDR,BioRED",true
D063806,68962001,Muscle pain,0.90,shared_cui,36,disease,BC5CDR,true
D004110,372793000,Diltiazem,0.90,shared_cui,35,chemical,"BC5CDR,BioRED",true
D004977,387129004,Ethambutol,0.90,shared_cui,35,chemical,BC5CDR,true
D005492,63718003,Folic acid,0.90,shared_cui,35,chemical,"BC5CDR,BioRED",true
D008687,372567009,Metformin,0.90,shared_cui,35,chemical,"BC5CDR,BioRED",true
D009270,372890007,Naloxone,0.90,shared_cui,35,chemical,BC5CDR,true
D013274,126824007,Neoplasm of stomach,0.90,shared_cui,35,disease,"BC5CDR,BioRED",true
D014750,387126006,Vincristine,0.90,shared_cui,35,chemical,"BC5CDR,BioRED",true
C029036,413767000,Carotinoid,0.65,mrrel_rb,34,chemical,"BC5CDR,BioRED",true
D010433,19901000,Pentetrazol,0.90,shared_cui,34,chemical,"BC5CDR,BioRED",true
D011803,373497008,Quinine,0.90,shared_cui,34,chemical,"BC5CDR,BioRED",true
D014280,85600001,Triacylglycerol,0.90,shared_cui,34,chemical,"BC5CDR,BioRED",true
D019808,373567002,Losartan,0.90,shared_cui,34,chemical,"BC5CDR,BioRED",true
D006514,22290004,Hepatitis B surface antigen,0.90,shared_cui,33,chemical,"BC5CDR,BioRED",true
D009205,399617002,Carditis,0.90,shared_cui,33,disease,"BC5CDR,BioRED",true
D010665,387464001,Phenylpropanolamine,0.90,shared_cui,33,chemical,BC5CDR,true
D017109,230333002,Akathisia caused by drug,0.90,shared_cui,33,disease,"BC5CDR,BioRED",true
D019335,407312007,Enzyme inhibitor,0.65,mrrel_rb,33,chemical,"BC5CDR,BioRED",true
C004656,66901003,Chloroacetaldehyde,0.90,shared_cui,32,chemical,"BC5CDR,BioRED",true
D003474,89028002,Curcumin stain,0.90,shared_cui,32,chemical,"BC5CDR,BioRED",true
D003922,46635009,Type 1 diabetes mellitus,0.90,shared_cui,32,disease,"BC5CDR,BioRED",true
D005442,387575000,Flumazenil,0.90,shared_cui,32,chemical,BC5CDR,true
D006976,70995007,Pulmonary hypertension,0.90,shared_cui,32,disease,"BC5CDR,BioRED",true
D009553,387502003,Nimodipine,0.90,shared_cui,32,chemical,"BC5CDR,BioRED",true
D012965,387390002,Sodium chloride,0.90,shared_cui,32,chemical,"BC5CDR,BioRED",true
D064704,387552007,Levofloxacin,0.90,shared_cui,32,chemical,"BC5CDR,BioRED",true
C031942,116508003,Argatroban,0.90,shared_cui,31,chemical,"BC5CDR,BioRED",true
D000799,41291007,Angioedema,0.90,shared_cui,31,disease,"BC5CDR,BioRED",true
D000809,9974009,Angiotensin,0.90,shared_cui,31,chemical,BC5CDR,true
D001224,430504000,Aspartate,0.90,shared_cui,31,chemical,"BC5CDR,BioRED",true
D001971,387039007,Bromocriptine,0.90,shared_cui,31,chemical,"BC5CDR,BioRED",true
D002216,387160004,Captopril,0.90,shared_cui,31,chemical,"BC5CDR,BioRED",true
D006221,387351001,Halothane,0.90,shared_cui,31,chemical,"BC5CDR,BioRED",true
D009901,128331005,Optic disc disorder,0.90,shared_cui,31,disease,BC5CDR,true
D010243,44695005,Paralysis,0.90,shared_cui,31,disease,"BC5CDR,BioRED",true
D011441,387203007,Propylthiouracil,0.90,shared_cui,31,chemical,BC5CDR,true
D017382,105590001,Substance,0.40,"sty_fallback:Element, Ion, or Isotope",31,chemical,BioRED,true
D018943,105590001,Substance,0.40,sty_fallback:Organic Chemical,31,chemical,"BC5CDR,BioRED",true
C035054,372752008,Central nervous system agent,0.65,mrrel_rb,30,chemical,"BC5CDR,BioRED",true
D000894,372665008,Non-steroidal anti-inflammatory agent,0.90,shared_cui,30,chemical,"BC5CDR,BioRED",true
D005424,372751001,Flecainide,0.90,shared_cui,30,chemical,"BC5CDR,BioRED",true
D005901,23986001,Glaucoma,0.90,shared_cui,30,disease,"BC5CDR,BioRED",true
D006212,7011001,Hallucinations,0.90,shared_cui,30,disease,"BC5CDR,BioRED",true
D006311,20364005,Paracusis,0.90,shared_cui,30,disease,"BC5CDR,BioRED",true
D006402,34093004,Disorder of hematopoietic system,0.90,shared_cui,30,disease,"BC5CDR,BioRED",true
D007859,1855002,Developmental academic disorder,0.90,shared_cui,30,disease,"BC5CDR,BioRED",true
D009410,404684003,Clinical finding,0.40,sty_fallback:Cell or Molecular Dysfunction,30,disease,"BC5CDR,BioRED",true
D013726,372745006,Terbutaline,0.90,shared_cui,30,chemical,"BC5CDR,BioRED",true
D014810,37237003,Vitamin E and/or vitamin E derivative,0.90,shared_cui,30,chemical,"BC5CDR,BioRED",true
D015232,387245009,Dinoprostone,0.90,shared_cui,30,chemical,"BC5CDR,BioRED",true
D017374,372595009,Paroxetine,0.90,shared_cui,30,chemical,"BC5CDR,BioRED",true
D030342,782964007,Genetic disease,0.90,shared_cui,30,disease,"BC5CDR,BioRED",true
D001569,372664007,Benzodiazepine,0.90,shared_cui,29,chemical,BC5CDR,true
D001929,2032001,Cerebral edema,0.90,shared_cui,29,disease,"BC5CDR,BioRED",true
D003865,321717001,Involutional depression,0.90,shared_cui,29,disease,"BC5CDR,BioRED",true
D003976,6264003,Diazinon,0.90,shared_cui,29,chemical,"BC5CDR,BioRED",true
D004176,387371005,Dipyridamole,0.90,shared_cui,29,chemical,BC5CDR,true
D005045,387218008,Etomidate,0.90,shared_cui,29,chemical,"BC5CDR,BioRED",true
D005909,1163375002,Glioblastoma,0.90,shared_cui,29,disease,"BC5CDR,BioRED",true
D006947,404684003,Clinical finding,0.40,sty_fallback:Finding,29,disease,"BC5CDR,BioRED",true
D007530,387368002,Isoflurane,0.90,shared_cui,29,chemical,"BC5CDR,BioRED",true
D009395,264536006,Interstitial nephritis,0.90,shared_cui,29,disease,"BC5CDR,BioRED",true
D011141,28442001,Polyuria,0.90,shared_cui,29,disease,"BC5CDR,BioRED",true
D012844,35765001,Sincalide,0.90,shared_cui,29,chemical,"BC5CDR,BioRED",true
